decision_id,location,title,date,company,decision,extras,tag
DRN4683629,decision/DRN4683629.pdf,Decision Reference DRN4683629,30 Sep 2019,Legal & General Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN1139334,decision/DRN1139334.pdf,Decision Reference DRN1139334,30 Sep 2019,Hood Group Limited,Not upheld,,Insurance (excluding PPI)
DRN0978937,decision/DRN0978937.pdf,Decision Reference DRN0978937,30 Sep 2019,The Society of Lloyd's,Not upheld,,Insurance (excluding PPI)
DRN1543111,decision/DRN1543111.pdf,Decision Reference DRN1543111,30 Sep 2019,Royal & Sun Alliance Insurance Plc,Upheld,,Insurance (excluding PPI)
DRN2669023,decision/DRN2669023.pdf,Decision Reference DRN2669023,30 Sep 2019,John Lewis Plc,Not upheld,,Insurance (excluding PPI)
DRN2555521,decision/DRN2555521.pdf,Decision Reference DRN2555521,30 Sep 2019,Arch Insurance (UK) Limited,Not upheld,,Insurance (excluding PPI)
DRN1049179,decision/DRN1049179.pdf,Decision Reference DRN1049179,30 Sep 2019,Ageas Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN3467242,decision/DRN3467242.pdf,Decision Reference DRN3467242,30 Sep 2019,AIG Europe Limited,Upheld,,Insurance (excluding PPI)
DRN0189249,decision/DRN0189249.pdf,Decision Reference DRN0189249,30 Sep 2019,AXA Insurance UK Plc,Not upheld,,Insurance (excluding PPI)
DRN0720934,decision/DRN0720934.pdf,Decision Reference DRN0720934,30 Sep 2019,Legal & General Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN5622851,decision/DRN5622851.pdf,Decision Reference DRN5622851,30 Sep 2019,Legal & General Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN2849055,decision/DRN2849055.pdf,Decision Reference DRN2849055,30 Sep 2019,AXA PPP Healthcare Limited,Not upheld,,Insurance (excluding PPI)
DRN1030314,decision/DRN1030314.pdf,Decision Reference DRN1030314,30 Sep 2019,UK Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN2796278,decision/DRN2796278.pdf,Decision Reference DRN2796278,30 Sep 2019,Advantage Insurance Company Limited,Not upheld,,Insurance (excluding PPI)
DRN0090411,decision/DRN0090411.pdf,Decision Reference DRN0090411,30 Sep 2019,UK Insurance Limited,Upheld,,Insurance (excluding PPI)
DRN0528644,decision/DRN0528644.pdf,Decision Reference DRN0528644,30 Sep 2019,St Andrew's Insurance plc,Upheld,,Insurance (excluding PPI)
DRN0313709,decision/DRN0313709.pdf,Decision Reference DRN0313709,30 Sep 2019,St Andrew's Insurance plc,Upheld,,Insurance (excluding PPI)
DRN3629962,decision/DRN3629962.pdf,Decision Reference DRN3629962,30 Sep 2019,Great Lakes Insurance SE,Upheld,,Insurance (excluding PPI)
DRN0029075,decision/DRN0029075.pdf,Decision Reference DRN0029075,27 Sep 2019,Southern Rock Insurance Company Limited,Not upheld,,Insurance (excluding PPI)
DRN5638260,decision/DRN5638260.pdf,Decision Reference DRN5638260,27 Sep 2019,Admiral Insurance Company Limited,Upheld,,Insurance (excluding PPI)
DRN6675927,decision/DRN6675927.pdf,Decision Reference DRN6675927,27 Sep 2019,HDI Global Specialty SE,Not upheld,,Insurance (excluding PPI)
DRN7135212,decision/DRN7135212.pdf,Decision Reference DRN7135212,27 Sep 2019,One Call Insurance Services Limited,Not upheld,,Insurance (excluding PPI)
DRN7160428,decision/DRN7160428.pdf,Decision Reference DRN7160428,27 Sep 2019,BISL Limited,Not upheld,,Insurance (excluding PPI)
DRN6637095,decision/DRN6637095.pdf,Decision Reference DRN6637095,27 Sep 2019,Legal & General Insurance Limited,Not upheld,,Insurance (excluding PPI)
DRN3822989,decision/DRN3822989.pdf,Decision Reference DRN3822989,27 Sep 2019,Royal & Sun Alliance Insurance Plc,Not upheld,,Insurance (excluding PPI)
DRN7158334,decision/DRN7158334.pdf,Decision Reference DRN7158334,27 Sep 2019,BUPA Insurance Services Limited,Not upheld,,Insurance (excluding PPI)
DRN2239964,decision/DRN2239964.pdf,Decision Reference DRN2239964,27 Sep 2019,UK Insurance Limited,Not upheld,,Insurance (excluding PPI)
